"ISO3","Year","unsc","unsc_t1","unsc3","ArrangementID","avgcondtype_all","nrcondtype_all","rohstoff_cond","stabil_cond","rohstoff_cond_share","stabil_cond_share","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","Rohstoffabhaengigkeit"
"COM",2012,0,0,0,NA,NA,NA,0,0,0,0,40.8104424055408,1.635,77.2903306337581,0.017388494580408,0.110774025742152,0.12816252032256,0.12816252032256
"COM",2013,0,0,0,NA,NA,NA,0,0,0,0,39.2433304243612,1.1261,122.094321825014,3.01260153144996e-05,0.0203651863526018,0.0203953123679163,0.0203953123679163
"COM",2014,0,0,0,NA,NA,NA,0,0,0,0,39.2358265722767,1.1693,125.122443178617,1.60903288612314,0.0618031951656029,1.67083608128874,1.67083608128874
"COM",2015,0,0,0,NA,NA,NA,0,0,0,0,37.8049520714563,1.1727,159.68006461965,5.64070725443839e-05,0.0444425057124696,0.044498912785014,0.044498912785014
"COM",2016,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2017,0,0,0,NA,NA,NA,0,0,0,0,40.164358921352,0.6066,114.442183950465,0.00887808919349842,0.126857513563295,0.135735602756793,0.135735602756793
"COM",2018,0,0,0,NA,NA,NA,0,0,0,0,42.996153341343,0.4622,74.5404372268097,4.1336953696259e-05,0.0877257182600293,0.0877670552137256,0.0877670552137256
"COM",2019,0,0,0,NA,NA,NA,0,0,0,0,42.2680785350184,0.7004,74.6245257633542,0.0252436299290411,0.318173040040997,0.343416669970038,0.343416669970038
"COM",2020,0,0,0,NA,NA,NA,0,0,0,0,33.7299346157491,0.4974,96.5614296607085,5.36366319081788e-05,0.75010829723588,0.750161933867788,0.750161933867788
"COM",2021,0,0,0,NA,NA,NA,0,0,0,0,42.0677236496077,0.4191,93.7915551733444,0.0512060681375277,6.54854738738506,6.59975345552259,6.59975345552259
"COM",2022,0,0,0,NA,NA,NA,0,0,0,0,50.3887704882382,0.432,78.3609845229889,0.0130202623394348,0.517962654358925,0.53098291669836,0.53098291669836
"COM",2023,0,0,0,863,12,192,9,43,9,43,44.4398634497089,0.1187,85.0235095063537,0.00485457345334166,1.23197156881377,1.23682614226711,1.23682614226711
"COM",2024,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2025,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2002,0,0,0,515,4.27272727272727,47,13,50,13,50,NA,NA,NA,NA,NA,NA,NA
"CPV",2002,0,0,0,515,2.33333333333333,28,13,50,13,50,NA,NA,NA,NA,NA,NA,NA
"CPV",2002,0,0,0,515,4.61538461538461,60,13,50,13,50,NA,NA,NA,NA,NA,NA,NA
"CPV",2003,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2004,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2005,0,0,0,NA,NA,NA,0,0,0,0,104.343839857053,0.1968,36.5232961207803,0,0.0246615055571856,0.0246615055571856,0.0246615055571856
"CPV",2006,0,0,0,NA,NA,NA,0,0,0,0,117.816697232822,0.1375,48.5575617849621,0,0.252610584713906,0.252610584713906,0.252610584713906
"CPV",2007,0,0,0,NA,NA,NA,0,0,0,0,94.2062075432498,0.2216,62.7754131414544,0,0,0,0
"CPV",2008,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2009,0,0,0,NA,NA,NA,0,0,0,0,80.4609561322904,0.2013,54.9109287999501,0,0.665352818458037,0.665352818458037,0.665352818458037
"CPV",2010,0,0,0,NA,NA,NA,0,0,0,0,85.5484498816191,0,43.1904364200831,0,0.886651706391125,0.886651706391125,0.886651706391125
"CPV",2011,0,0,0,NA,NA,NA,0,0,0,0,90.5564501122747,0,32.5118356177342,0.000586435277576983,0.942327818292646,0.942914253570223,0.942914253570223
"CPV",2012,0,0,0,NA,NA,NA,0,0,0,0,90.649916554117,22.3191,23.3776106102284,0,8.96488802989324e-05,8.96488802989324e-05,8.96488802989324e-05
"CPV",2013,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2014,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2015,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2016,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2017,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2018,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2019,0,0,0,NA,NA,NA,0,0,0,0,103.602656463726,15.1147,34.2729983351114,0,0.162556583851755,0.162556583851755,0.162556583851755
"CPV",2020,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CPV",2021,0,0,0,NA,NA,NA,0,0,0,0,77.4550586265341,15.6804,31.3293377968434,0,0.173682604274348,0.173682604274348,0.173682604274348
"CPV",2022,0,0,0,832,9.66666666666667,116,0,83,0,83,96.9941368513357,16.4615,30.3660227232231,0,0.00576283024949212,0.00576283024949212,0.00576283024949212
