"programnr","Arrangement.Number","Country.Name","MONA.Code","ISO3","Approval.Year","arrtype_group","nrquarters","approvaldate","nrcondtype_pc","nrcondtype_pa","nrcondtype_sb","nrcondtype_all","avgcondtype_all","avgcondtype_pc","avgcondtype_pa","avgcondtype_sb"
187,746,"CENTRAL AFRICAN REPUBLIC",626,"CAF",2016,"PRGF",12,"2016-07-20",0,23,121,144,12,0,1.91666666666667,10.0833333333333
187,746,"CENTRAL AFRICAN REPUBLIC",626,"CAF",2016,"PRGF",13,"2016-07-20",0,5,41,46,3.53846153846154,0,0.384615384615385,3.15384615384615
190,751,"NIGER",692,"NER",2017,"PRGF",12,"2017-01-23",0,9,109,118,9.83333333333333,0,0.75,9.08333333333333
190,751,"NIGER",692,"NER",2017,"PRGF",13,"2017-01-23",0,6,41,47,3.61538461538462,0,0.461538461538462,3.15384615384615
190,751,"NIGER",692,"NER",2017,"PRGF",15,"2017-01-23",0,17,172,189,12.6,0,1.13333333333333,11.4666666666667
191,752,"EGYPT",469,"EGY",2016,"EFF_SBA",11,"2016-11-11",0,9,59,68,6.18181818181818,0,0.818181818181818,5.36363636363636
191,752,"EGYPT",469,"EGY",2016,"EFF_SBA",12,"2016-11-11",0,21,170,191,15.9166666666667,0,1.75,14.1666666666667
192,754,"BENIN",638,"BEN",2017,"PRGF",12,"2017-04-07",0,31,105,136,11.3333333333333,0,2.58333333333333,8.75
192,754,"BENIN",638,"BEN",2017,"PRGF",13,"2017-04-07",0,8,32,40,3.07692307692308,0,0.615384615384615,2.46153846153846
192,754,"BENIN",638,"BEN",2017,"PRGF",14,"2017-04-07",0,8,32,40,2.85714285714286,0,0.571428571428571,2.28571428571429
194,756,"TOGO",742,"TGO",2017,"PRGF",12,"2017-05-05",0,33,197,230,19.1666666666667,0,2.75,16.4166666666667
196,758,"SIERRA LEONE",724,"SLE",2017,"PRGF",6,"2017-06-05",0,4,11,15,2.5,0,0.666666666666667,1.83333333333333
197,759,"GABON",646,"GAB",2017,"EFF_SBA",12,"2017-06-19",0,41,134,175,14.5833333333333,0,3.41666666666667,11.1666666666667
198,760,"CAMEROON",622,"CMR",2017,"PRGF",12,"2017-06-26",0,39,290,329,27.4166666666667,0,3.25,24.1666666666667
198,760,"CAMEROON",622,"CMR",2017,"PRGF",13,"2017-06-26",0,15,119,134,10.3076923076923,0,1.15384615384615,9.15384615384615
199,761,"CHAD",628,"TCD",2017,"PRGF",12,"2017-06-30",0,29,133,162,13.5,0,2.41666666666667,11.0833333333333
200,764,"MAURITANIA",682,"MRT",2017,"PRGF",12,"2017-12-06",0,24,165,189,15.75,0,2,13.75
200,764,"MAURITANIA",682,"MRT",2017,"PRGF",13,"2017-12-06",0,12,108,120,9.23076923076923,0,0.923076923076923,8.30769230769231
201,765,"GUINEA",656,"GIN",2017,"PRGF",12,"2017-12-11",0,64,174,238,19.8333333333333,0,5.33333333333333,14.5
202,767,"BURKINA FASO",748,"BFA",2018,"PRGF",11,"2018-03-14",0,12,37,49,4.45454545454545,0,1.09090909090909,3.36363636363636
202,767,"BURKINA FASO",748,"BFA",2018,"PRGF",12,"2018-03-14",0,26,104,130,10.8333333333333,0,2.16666666666667,8.66666666666667
203,768,"MALAWI",676,"MWI",2018,"PRGF",10,"2018-04-30",0,9,60,69,6.9,0,0.9,6
203,768,"MALAWI",676,"MWI",2018,"PRGF",12,"2018-04-30",0,14,68,82,6.83333333333333,0,1.16666666666667,5.66666666666667
206,773,"SIERRA LEONE",724,"SLE",2018,"PRGF",15,"2018-11-30",0,12,26,38,2.53333333333333,0,0.8,1.73333333333333
206,773,"SIERRA LEONE",724,"SLE",2018,"PRGF",19,"2018-11-30",0,14,57,71,3.73684210526316,0,0.736842105263158,3
206,773,"SIERRA LEONE",724,"SLE",2018,"PRGF",20,"2018-11-30",0,60,77,137,6.85,0,3,3.85
207,774,"ANGOLA",614,"AGO",2018,"EFF_SBA",12,"2018-12-07",0,23,224,247,20.5833333333333,0,1.91666666666667,18.6666666666667
207,774,"ANGOLA",614,"AGO",2018,"EFF_SBA",13,"2018-12-07",0,4,57,61,4.69230769230769,0,0.307692307692308,4.38461538461539
