programnr,Arrangement Number,Country Name,MONA Code,ISO3,Approval Year,arrtype_group,nrquarters,approvaldate,nrcondtype_pc,nrcondtype_pa,nrcondtype_sb,nrcondtype_all,avgcondtype_all,avgcondtype_pc,avgcondtype_pa,avgcondtype_sb,unsc,unsc3,unsc_t1,XDebtGNI,DebtServGNI,ResXDebt,FuelExportPct,MineralExportPct,Rohstoffabhängigkeit
86,597,GEORGIA,915,GEO,2008,EFF_SBA,11,2008-09-15,18,0,58,76,6.909090909090909,1.6363636363636365,0,5.2727272727272725,0,0,0,86.2982243681487,13.4236,19.1692633814818,2.95013231247938,20.2382480864755,23.18838039895488
88,599,UKRAINE,926,UKR,2008,EFF_SBA,7,2008-11-05,11,16,15,42,6,1.5714285714285714,2.2857142857142856,2.142857142857143,0,0,0,94.1718921417534,20.7346,31.6946136764801,6.13750401903014,6.82167565134447,12.95917967037461
88,599,UKRAINE,926,UKR,2008,EFF_SBA,8,2008-11-05,18,15,14,47,5.875,2.25,1.875,1.75,0,0,0,94.1718921417534,20.7346,31.6946136764801,6.13750401903014,6.82167565134447,12.95917967037461
91,602,ARMENIA,911,ARM,2008,PRGF,1,2008-11-17,6,0,6,12,12,6,0,6,0,0,0,54.5423279613666,14.4161,38.9426901449574,0.259782913208907,28.548310685311,28.808093598519907
93,604,PAKISTAN,564,PAK,2008,EFF_SBA,8,2008-11-24,4,6,14,24,3,0.5,0.75,1.75,0,0,0,34.3489608135242,2.7338,18.0076134712079,6.18163514554564,1.28884444252292,7.47047958806856
93,604,PAKISTAN,564,PAK,2008,EFF_SBA,9,2008-11-24,4,8,26,38,4.222222222222222,0.4444444444444444,0.8888888888888888,2.888888888888889,0,0,0,34.3489608135242,2.7338,18.0076134712079,6.18163514554564,1.28884444252292,7.47047958806856
93,604,PAKISTAN,564,PAK,2008,EFF_SBA,12,2008-11-24,2,6,15,23,1.9166666666666667,0.16666666666666666,0.5,1.25,0,0,0,34.3489608135242,2.7338,18.0076134712079,6.18163514554564,1.28884444252292,7.47047958806856
97,608,BELARUS,913,BLR,2009,EFF_SBA,5,2009-01-12,0,44,38,82,16.4,0,8.8,7.6,0,0,0,108.63564482836,41.108,25.5459693030571,37.44466887987,0.594920082534629,38.03958896240463
98,609,EL SALVADOR,253,SLV,2009,EFF_SBA,5,2009-01-16,0,1,2,3,0.6,0,0.2,0.4,0,0,0,66.0711911744487,8.2957,29.9918129933645,2.75552281120897,1.29712979888706,4.05265261009603
100,611,ARMENIA,911,ARM,2009,EFF_SBA,5,2009-03-06,1,0,18,19,3.8,0.2,0,3.6,0,0,0,57.2742357441995,10.7228,40.6006069455793,0.0903876860458172,44.0860659129662,44.176453599012014
100,611,ARMENIA,911,ARM,2009,EFF_SBA,9,2009-03-06,3,0,22,25,2.7777777777777777,0.3333333333333333,0,2.4444444444444446,0,0,0,57.2742357441995,10.7228,40.6006069455793,0.0903876860458172,44.0860659129662,44.176453599012014
