"ISO3","Year","total_cond","rohstoff_cond","stabil_cond","sonstige_cond","avgcondtype_all","rohstoff_cond_share","stabil_cond_share","FuelExportPct","MineralExportPct","XDebtGNI","DebtServGNI","ResXDebt","unsc","unsc_t1","unsc3","resource_dep","Rohstoffabhängigkeit","region"
"GAB",2004,150,35,63,62,0.653333333333333,0.233333333333333,0.42,76.1833932062393,5.50841106598959,81.7675371418698,4.4504,10.9219293951205,0,0,0,81.6918042722289,81.6918042722289,"SSA"
"GAB",2007,94,31,67,12,1.04255319148936,0.329787234042553,0.712765957446808,83.4131671985386,3.60059532421835,85.1324791636578,8.6978,24.1251490739474,0,0,0,87.0137625227569,87.0137625227569,"SSA"
"GAB",2017,175,6,157,18,0.931428571428571,0.0342857142857143,0.897142857142857,62.2945642697917,3.31591796865075,75.0687404456638,3.151,14.6694853489707,0,0,0,65.6104822384424,65.6104822384424,"SSA"
"GAB",2021,68,8,55,11,0.926470588235294,0.117647058823529,0.808823529411765,52.3128650846528,6.75461904672039,85.3483122054787,0.2149,16.6511067504691,0,0,0,59.0674841313732,59.0674841313732,"SSA"
"GEO",2004,259,26,168,77,0.749034749034749,0.1003861003861,0.648648648648649,3.52462707764719,24.1908885799925,79.0407459055607,4.5871,16.6914033517703,0,0,0,27.7155156576397,27.7155156576397,"ECA"
"GEO",2008,96,0,65,31,0.677083333333333,0,0.677083333333333,2.95013231247938,20.2382480864755,86.2982243681487,13.4236,19.1692633814818,0,0,0,23.1883803989549,23.1883803989549,"ECA"
"GEO",2012,7,0,4,3,0.571428571428571,0,0.571428571428571,2.9506292384286,10.54586482423,89.7348800946338,15.9717,21.2543266682517,0,0,0,13.4964940626586,13.4964940626586,"ECA"
"GEO",2014,22,0,13,9,0.590909090909091,0,0.590909090909091,3.7699143071261,7.02141310273315,94.9506979383393,15.2493,19.1398638204665,0,0,0,10.7913274098592,10.7913274098592,"ECA"
"GEO",2017,372,0,144,228,0.387096774193548,0,0.387096774193548,4.10234077225929,24.3437615637949,102.584277697146,15.263,18.9884320493199,0,0,0,28.4461023360542,28.4461023360542,"ECA"
"GEO",2022,51,0,28,23,0.549019607843137,0,0.549019607843137,2.60573425303883,32.7979025501132,114.695437688718,16.3328,20.9538653079122,0,0,0,35.403636803152,35.403636803152,"ECA"
"GHA",2003,227,80,120,31,0.881057268722467,0.352422907488987,0.52863436123348,0.0481803318787904,2.46857072038619,97.2871457139532,9.1218,17.7094465886763,0,0,0,2.51675105226498,2.51675105226498,"SSA"
"GHA",2009,176,31,117,40,0.840909090909091,0.176136363636364,0.664772727272727,1.75329081764514,1.74904889698946,71.5947385281523,11.6577,28.4806289961588,0,0,0,3.5023397146346,3.5023397146346,"SSA"
"GHA",2015,374,23,276,91,0.799465240641711,0.0614973262032086,0.737967914438503,21.7019621780148,1.53114850582018,76.5212709243242,10.5541,18.3432463946771,0,0,0,23.233110683835,23.233110683835,"SSA"
"GHA",2023,182,43,145,27,1.03296703296703,0.236263736263736,0.796703296703297,24.5298166225955,3.79789972324939,64.3878615301086,9.0197,8.69027246258012,1,1,1,28.3277163458449,28.3277163458449,"SSA"
"GIN",2007,59,9,49,3,0.983050847457627,0.152542372881356,0.830508474576271,0.864102683278354,73.4419716903088,71.1210322265015,4.0248,1.41713322716656,0,0,0,74.3060743735872,74.3060743735872,"SSA"
