"ISO3","year","unsc","unsc_t1","unsc3"
"SWE",1950,0,0,0
"CHE",1950,0,0,0
"SYR",1950,0,0,0
"THA",1950,0,0,0
"TGO",1950,0,0,0
"TTO",1950,0,0,0
"TUN",1950,0,0,0
"UGA",1950,0,0,0
"UKR",1950,0,0,0
"ARE",1950,0,0,0
"URY",1950,0,0,0
"VNM",1950,0,0,0
"ZMB",1950,0,0,0
"ZWE",1950,0,0,0
"ALB",1951,0,0,0
"DZA",1951,0,0,0
"AGO",1951,0,0,0
"ARG",1951,0,0,0
"AUS",1951,0,0,0
"AUT",1951,0,0,0
"AZE",1951,0,0,0
"BHR",1951,0,0,0
"BGD",1951,0,0,0
"BLR",1951,0,0,0
"BEL",1951,0,0,0
"BEN",1951,0,0,0
"BIH",1951,0,0,0
"BWA",1951,0,0,0
"BRA",1951,1,0,1
"BGR",1951,0,0,0
"BFA",1951,0,0,0
"BDI",1951,0,0,0
"CPV",1951,0,0,0
"CMR",1951,0,0,0
"CAN",1951,0,0,0
"TCD",1951,0,0,0
"CHL",1951,0,0,0
"CHN",1951,1,1,1
"COL",1951,0,0,0
"CRI",1951,0,0,0
"HRV",1951,0,0,0
"CUB",1951,0,1,1
"CZE",1951,0,0,0
"DNK",1951,0,0,0
"DJI",1951,0,0,0
"DOM",1951,0,0,0
"ECU",1951,1,1,1
"GNQ",1951,0,0,0
"EST",1951,0,0,0
"ETH",1951,0,0,0
"FIN",1951,0,0,0
"FRA",1951,1,1,1
"GAB",1951,0,0,0
"DEU",1951,0,0,0
"GHA",1951,0,0,0
"GRC",1951,0,0,0
"GTM",1951,0,0,0
"GIN",1951,0,0,0
"GNB",1951,0,0,0
"GUY",1951,0,0,0
"HND",1951,0,0,0
"HUN",1951,0,0,0
"IND",1951,1,1,1
"IDN",1951,0,0,0
"IRQ",1951,0,0,0
"IRL",1951,0,0,0
"ITA",1951,0,0,0
"JAM",1951,0,0,0
"JPN",1951,0,0,0
"JOR",1951,0,0,0
"KAZ",1951,0,0,0
"KEN",1951,0,0,0
"KWT",1951,0,0,0
"LVA",1951,0,0,0
"LBN",1951,0,0,0
"LBR",1951,0,0,0
"LBY",1951,0,0,0
"LTU",1951,0,0,0
"LUX",1951,0,0,0
"MDG",1951,0,0,0
"MYS",1951,0,0,0
"MLI",1951,0,0,0
"MLT",1951,0,0,0
"MRT",1951,0,0,0
"MUS",1951,0,0,0
"MEX",1951,0,0,0
"MAR",1951,0,0,0
"MOZ",1951,0,0,0
"NAM",1951,0,0,0
"NPL",1951,0,0,0
"NLD",1951,1,0,1
"NZL",1951,0,0,0
"NIC",1951,0,0,0
"NER",1951,0,0,0
"NGA",1951,0,0,0
"NOR",1951,0,1,1
"OMN",1951,0,0,0
"PAK",1951,0,0,0
"PAN",1951,0,0,0
"PRY",1951,0,0,0
"PER",1951,0,0,0
"PHL",1951,0,0,0
"POL",1951,0,0,0
"PRT",1951,0,0,0
"QAT",1951,0,0,0
"ROU",1951,0,0,0
"RUS",1951,0,0,0
"RWA",1951,0,0,0
"SEN",1951,0,0,0
"SLE",1951,0,0,0
"SGP",1951,0,0,0
"SVN",1951,0,0,0
